Episode,Score
1,-128
2,-155
3,-105
4,-182
5,-135
6,-123
7,-107
8,-145
9,-121
10,-188
11,-164
12,-164
13,-199
14,-98
15,-108
16,-109
17,-160
18,-137
19,-104
20,-80
21,-111
22,-95
23,-157
24,-64
25,-120
26,-109
27,-116
28,-172
29,-191
30,-166
31,-64
32,-56
33,-152
34,-141
35,-145
36,-143
37,-195
38,-102
39,-96
40,-216
41,-146
42,-48
43,-50
44,-60
45,-102
46,-71
47,-78
48,-52
49,-90
50,-81
51,-97
52,-105
53,-89
54,-100
55,-67
56,-55
57,-125
58,-55
59,-62
60,-71
61,-92
62,-118
63,-105
64,-129
65,-103
66,-51
67,-51
68,-7
69,-117
70,-86
71,-105
72,-108
73,-76
74,-87
75,-83
76,-120
77,-10
78,-30
79,-57
80,-60
81,-43
82,-51
83,-112
84,-115
85,-12
86,-53
87,-16
88,-16
89,-24
90,-105
91,-58
92,-36
93,-73
94,-40
95,-13
96,-106
97,-47
98,-33
99,-80
100,-99
101,-64
102,-82
103,-45
104,-92
105,-51
106,-12
107,-9
108,-87
109,-79
110,-22
111,-21
112,3
113,38
114,-11
115,16
116,-51
117,-54
118,-2
119,-116
120,-73
121,-36
122,-13
123,-16
124,13
125,-70
126,-43
127,9
128,-4
129,-63
130,-73
131,-21
132,-15
133,-78
134,-74
135,-57
136,-44
137,-53
138,-7
139,26
140,-57
141,-19
142,-57
143,-36
144,34
145,17
146,-9
147,13
148,-18
149,-21
150,-61
151,-25
152,-48
153,-4
154,-19
155,-31
156,-43
157,-9
158,-21
159,22
160,33
161,-36
162,32
163,-11
164,5
165,18
166,-52
167,3
168,-40
169,-27
170,-4
171,-55
172,-7
173,21
174,1
175,-52
176,-1
177,35
178,-1
179,-4
180,-51
181,29
182,34
183,-13
184,-47
185,-4
186,25
187,-36
188,12
189,-3
190,18
191,-34
192,34
193,-30
194,6
195,17
196,10
197,-14
198,-7
199,3
200,5
201,-59
202,36
203,36
204,19
205,-11
206,45
207,53
208,21
209,-7
210,-18
211,-23
212,11
213,19
214,-18
215,2
216,2
217,-15
218,25
219,-23
220,11
221,46
222,44
223,3
224,40
225,20
226,23
227,51
228,18
229,37
230,-2
231,-40
232,61
233,11
234,7
235,-38
236,46
237,22
238,93
239,39
240,-12
241,1
242,28
243,9
244,59
245,-27
246,17
247,65
248,-23
249,12
250,-2
251,-8
252,38
253,-13
254,43
255,41
256,39
257,69
258,53
259,6
260,52
261,23
262,66
263,47
264,39
265,80
266,54
267,57
268,38
269,43
270,65
271,37
272,65
273,91
274,101
275,17
276,26
277,53
278,60
279,67
280,99
281,79
282,28
283,5
284,2
285,24
286,21
287,73
288,66
289,52
290,22
291,44
292,52
293,44
294,78
295,-24
296,47
297,85
298,75
299,40
300,89
301,89
302,65
303,79
304,29
305,87
306,56
307,59
308,43
309,67
310,68
311,57
312,43
313,3
314,56
315,46
316,68
317,104
318,88
319,103
320,42
321,98
322,73
323,33
324,58
325,66
326,41
327,45
328,63
329,22
330,47
331,68
332,74
333,49
334,61
335,60
336,75
337,45
338,49
339,22
340,86
341,47
342,79
343,33
344,55
345,125
346,106
347,67
348,70
349,54
350,80
351,69
352,57
353,57
354,93
355,57
356,41
357,71
358,71
359,34
360,122
361,38
362,26
363,41
364,73
365,73
366,76
367,62
368,78
369,72
370,88
371,110
372,79
373,98
374,32
375,52
376,38
377,88
378,74
379,36
380,80
381,89
382,60
383,66
384,100
385,56
386,57
387,67
388,71
389,46
390,73
391,71
392,99
393,77
394,70
395,106
396,47
397,70
398,45
399,89
